Work no.,Title,Author,Genre,PDF,Unicode
619,சேற்றில் மனிதர்கள் (சமூக நாவல்),ராஜம் கிருஷ்ணன்,சமூக நாவல்,pm0619.pdf,pmuni0619.html
620,ஊருக்குள் ஒரு புரட்சி (நாவல்),சு. சமுத்திரம்,நாவல் - புதினம்,pm0620.pdf,pmuni0620.html
621,நாலாயிரத் திவ்வியப் பிரபந்தம்  ஆங்கில மொழிபெயர்ப்பு - பாகம் 1 (1-947),கௌசல்யா ஹார்ட்,"சமயம் - வைணவம், மொழிபெயர்ப்பு",pm0621_eng.pdf pm0621_tam.pdf,pmuni0621_eng.html pmuni0621_tam.html
622,நாலாயிரத் திவ்வியப் பிரபந்தம்  ஆங்கில மொழிபெயர்ப்பு - பாகம் 2 (948 -2081),கௌசல்யா ஹார்ட்,"சமயம் - வைணவம், மொழிபெயர்ப்பு",pm0622_eng.pdf pm0622_tam.pdf,pmuni0622_eng.html pmuni0622_tam.html
623,நாலாயிரத் திவ்வியப் பிரபந்தம்  ஆங்கில மொழிபெயர்ப்பு - பாகம் 3 (2082-2970),கௌசல்யா ஹார்ட்,"சமயம் - வைணவம், மொழிபெயர்ப்பு",pm0623_eng.pdf pm0623_tam.pdf,pmuni0623_eng.html pmuni0623_tam.html
624,நாலாயிரத் திவ்வியப் பிரபந்தம்  ஆங்கில மொழிபெயர்ப்பு - பாகம் 4 (2971-4000),கௌசல்யா ஹார்ட்,"சமயம் - வைணவம், மொழிபெயர்ப்பு",pm0624_eng.pdf pm0624_tam.pdf,pmuni0624_eng.html pmuni0624_tam.html
625,நெருப்புக் காடுகள் (மரபு கவிதை தொகுதிகள்),தென்னவன்,மரபு கவிதை,pm0625.pdf,pmuni0625.html
626,மாயூரநாதர் அந்தாதி,வே. முத்துஸாமி ஐயர்,பிரபந்தம் - அந்தாதி,pm0626.pdf,pmuni0626.html
627,சோமசுந்தர மும்மணிக்கோவை,அ. சோமசுந்தர முதலியார்,பிரபந்தம் - கோவை,pm0627_01.pdf,pmuni0627_01.html
627,மாவூற்று வேலப்பர் காவடிச் சிந்து,மீனாட்சிசுந்தர நாடார்,பிரபந்தம் - காவடிச் சிந்து,pm0627_02.pdf,pmuni0627_02.html
628,திருநறையூர் நம்பி மேகவிடு தூது,பிள்ளைப்பெருமாளையங்கார்,பிரபந்தம் - தூது,pm0628.pdf,pmuni0628.html
629,குமாஸ்தாவின் பெண்,அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),நாவல்,pm0629.pdf,pmuni0629.html
630,நவதந்திரக் கதைகள்,சி. சுப்ரமணிய பாரதியார்,சிறுகதைகள் - தொகுப்பு,pm0630.pdf,pmuni0630.html
631,சின்னச் சங்கரன் கதை,சி. சுப்ரமணிய பாரதியார்,சிறுகதைகள்,pm0631.pdf,pmuni0631.html
632,ஞானரதம் (உரைநடை),சி. சுப்ரமணிய பாரதியார்,கட்டுரைகள்,pm0632.pdf,pmuni0632.html
633,சிறுகதைகள் தொகுப்பு - பாகம் 1,சுப்பிரமணிய பாரதியார்,சிறுகதைகள் தொகுப்பு,pm0633.pdf,pmuni0633.html
634,"வடம் பிடிக்க வாங்க, ஜப்பானுக்கு!",சாவி (சா. விஸ்வநாதன்),நாவல் - புதினம்,pm0634.pdf,pmuni0634.html
635,குசேல வெண்பா,நா. சேதுராமய்யர்,பிரபந்தம் - வெண்பா,pm0635.pdf,pmuni0635.html
636,கல்கியின் சிறுகதைகள் தொகுப்பு பாகம் 1 (சிறுகதைகள் 1 - 15 ),கல்கி கிருஷ்ணமூர்த்தி,சிறுகதைகள் தொகுப்பு,pm0636.pdf,pmuni0636.html
637,கல்கியின் சிறுகதைகள் தொகுப்பு பாகம் 2 ( சிறுகதைகள் 16 - 30 ),கல்கி கிருஷ்ணமூர்த்தி,சிறுகதைகள் தொகுப்பு,pm0637.pdf,pmuni0637.html
638,கல்கியின் சிறுகதைகள் தொகுப்பு பாகம் 3 ( சிறுகதைகள் 31 - 45 ),கல்கி கிருஷ்ணமூர்த்தி,சிறுகதைகள் தொகுப்பு,pm0638.pdf,pmuni0638.html
639,கல்கியின் சிறுகதைகள் தொகுப்பு பாகம் 4 ( சிறுகதைகள் 46 - 60 ),கல்கி கிருஷ்ணமூர்த்தி,சிறுகதைகள் தொகுப்பு,pm0639.pdf,pmuni0639.html
640,கல்கியின் சிறுகதைகள் தொகுப்பு பாகம் 5 ( சிறுகதைகள் 61 - 75 ),கல்கி கிருஷ்ணமூர்த்தி,சிறுகதைகள் தொகுப்பு,pm0640.pdf,pmuni0640.html
641,சந்திரமோகன் ( நாடகம்),அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),நாடகம்,pm0641.pdf,pmuni0641.html
642,இலக்கிய இன்பம்,நாமக்கல் கவிஞர் இராமலிங்கம் பிள்ளை,ஆராய்ச்சிக் கட்டுரைகள்,pm0642.pdf,pmuni0642.html
643,விசிறி வாழை (காதல் நவீனம்),சாவி (சா. விஸ்வநாதன்),நாவல் - புதினம்,pm0643.pdf,pmuni0643.html
644,திருப்பேரூர்க் கிள்ளைவிடு தூது (உரையுடன்),கோயமுத்தூர் கந்தசாமி முதலியார்,பிரபந்தம் - தூது,pm0644.pdf,pmuni0644.html
645,திருமாலிருஞ் சோலைமலை அழகர் கிள்ளைவிடு தூது (உரையுடன்),பலபட்டடைச் சொக்கநாத பிள்ளை,பிரபந்தம் - தூது,pm0645.pdf,pmuni0645.html
